_id,originName,totalWeightSum,districtName,season,transmode,impExpFlag,commodity,organic,reportDate,checksum_sha256,crawl_date,,
"ObjectId(""5f0fcf208b390b44eccabe6f"")",MEXICO,216436,"MEXICO CROSSINGS THROUGH EAGLE PASS, TX",2019,Truck,I,Watermelons,FALSE,2020-07-14T00:00:00.000Z,635f1e3e8eff9a54a498c18ed7c12f949804b3cde8aec814b40bd2dc36b70e3f,2020-07-15T20:53:04.593Z,,
"ObjectId(""5f0fcf208b390b44eccabe6e"")",MEXICO,506022,"MEXICO CROSSINGS THROUGH PROGRESO, TX",2019,Truck,I,Watermelons,FALSE,2020-07-14T00:00:00.000Z,3632061bd64dd5e395effa4d08ffb19fa3ce8e43541eede1861121171e61290b,2020-07-15T20:53:04.591Z,,
"ObjectId(""5f0fcf208b390b44eccabe6d"")",MEXICO,40139,"MEXICO CROSSINGS THROUGH PRESIDIO, TX",2019,Truck,I,Watermelons,FALSE,2020-07-14T00:00:00.000Z,93ea408d1c0a05a75d32fe32182a72ae14d91dbeb780c34721f5154a6000c415,2020-07-15T20:53:04.590Z,,
"ObjectId(""5f0fcf208b390b44eccabe6c"")",MEXICO,92059,"MEXICO CROSSINGS THROUGH PHARR, TX",2019,Truck,I,Watermelons,FALSE,2020-07-14T00:00:00.000Z,19d8b40808d9b4ecbdaeb4ae15a19ef97de782ef8375a0dcc3fb9ac0a9807413,2020-07-15T20:53:04.588Z,,
"ObjectId(""5f0fcf1e8b390b44eccabc26"")",MEXICO,261250,"MEXICO CROSSINGS THROUGH EAGLE PASS, TX",2019,Truck,I,Watermelons,FALSE,2020-07-13T00:00:00.000Z,a416a56002c7af0cc2cb415b3e44295f6ce3977463d362bed7d49c498745db5a,2020-07-15T20:53:02.098Z,,
"ObjectId(""5f0fcf1e8b390b44eccabc25"")",MEXICO,182833,"MEXICO CROSSINGS THROUGH PHARR, TX",2019,Truck,I,Watermelons,FALSE,2020-07-13T00:00:00.000Z,1c16162f55a1040b902919389eb962deb82017e50a6869279697b164a36c60df,2020-07-15T20:53:02.097Z,,
"ObjectId(""5f0fcf1e8b390b44eccabc24"")",MEXICO,858000,"MEXICO CROSSINGS THROUGH PROGRESO, TX",2019,Truck,I,Watermelons,FALSE,2020-07-13T00:00:00.000Z,11aee8cfab8f6bc9fbfba664c672e7d72344798b80fc03a304d987e2583528d8,2020-07-15T20:53:02.095Z,,
"ObjectId(""5f0fcf1b8b390b44eccab9b1"")",MEXICO,95040,MEXICO CROSSINGS THROUGH RIO GRANDE CITY,2019,Truck,I,Watermelons,FALSE,2020-07-12T00:00:00.000Z,75c58313083e1489bd6298de1f55310a62246db84b60537a6177c99d74480b04,2020-07-15T20:52:59.370Z,,
"ObjectId(""5f0fcf198b390b44eccab7f3"")",MEXICO,16335,MEXICO CROSSINGS THROUGH CALEXICO,2019,Truck,I,A,2020-07-11T00:00:00.000Z,Watermelons,FALSE,2020-07-11T00:00:00.000Z,80b441a0eb880b6d32e47556f973476b31dfa796950106218734b48b3cad1150,2020-07-15T20:52:57.506Z
"ObjectId(""5f0fcf198b390b44eccab7f2"")",MEXICO,47520,MEXICO CROSSINGS THROUGH RIO GRANDE CITY,2019,Truck,I,Watermelons,FALSE,2020-07-11T00:00:00.000Z,f49ab2b76668e85c1eac2aff15915b68d54ac0c0f49341ad0a8ead40b0f9e929,2020-07-15T20:52:57.504Z,,
"ObjectId(""5f0fcf198b390b44eccab7f1"")",MEXICO,46101,"MEXICO CROSSINGS THROUGH PHARR, TX",2019,Truck,I,Watermelons,FALSE,2020-07-11T00:00:00.000Z,f2b5ca16e64dff7ce251abecee8e43604541620b4a0c0e36608a146f1fe2eadb,2020-07-15T20:52:57.502Z,,
"ObjectId(""5f0fcf198b390b44eccab7f0"")",MEXICO,763543,"MEXICO CROSSINGS THROUGH PROGRESO, TX",2019,Truck,I,Watermelons,FALSE,2020-07-11T00:00:00.000Z,14237b64bc3a0f5a4087ab46e86ae888497864addd6d965a9208ce235c30ebe9,2020-07-15T20:52:57.501Z,,
"ObjectId(""5f0fcf198b390b44eccab7ef"")",MEXICO,87120,"MEXICO CROSSINGS THROUGH EAGLE PASS, TX",2019,Truck,I,Watermelons,FALSE,2020-07-11T00:00:00.000Z,0d70f278006cb74868c282d43fb1f353341c24c38350a6eba1e0e4abe79b688a,2020-07-15T20:52:57.499Z,,
"ObjectId(""5f0fcf158b390b44eccab3e8"")",MEXICO,32670,MEXICO CROSSINGS THROUGH CALEXICO,2019,Truck,I,Watermelons,FALSE,2020-07-10T00:00:00.000Z,4f137c68496b05e4427468f5a7faadd7c8c7b389f33afdccff51959c8c492535,2020-07-15T20:52:53.237Z,,
